Library,Ordinal,Name,ReferenceExportKind,ModuleCount,Modules
AD_RSRC,4,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,5,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,7,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,8,<unresolved>,,1,Globe.ad
AD_RSRC,9,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,10,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,11,<unresolved>,,1,Clocks.ad
AD_RSRC,13,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,14,<unresolved>,,1,Clocks.ad
AD_RSRC,15,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,17,<unresolved>,,1,Clocks.ad
AD_RSRC,18,<unresolved>,,1,Clocks.ad
AD_RSRC,22,<unresolved>,,1,Clocks.ad
AD_RSRC,23,<unresolved>,,2,Clocks.ad; Marbles.ad
AD_RSRC,24,<unresolved>,,3,Aquatic Realm.ad.dll; Marbles.ad; Swan Lake.ad
AD_RSRC,28,<unresolved>,,1,Marbles.ad
AD_RSRC,30,<unresolved>,,3,Aquatic Realm.ad.dll; Clocks.ad; Swan Lake.ad
AD_RSRC,31,<unresolved>,,4,Aquatic Realm.ad.dll; Clocks.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,34,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,35,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,40,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,50,<unresolved>,,2,Marbles.ad; Swan Lake.ad
AD_RSRC,54,<unresolved>,,2,Marbles.ad; Swan Lake.ad
AD_RSRC,55,<unresolved>,,2,Marbles.ad; Swan Lake.ad
AD_RSRC,56,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,73,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,74,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,75,<unresolved>,,1,Clocks.ad
AD_RSRC,77,<unresolved>,,1,Globe.ad
AD_RSRC,78,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,79,<unresolved>,,4,Aquatic Realm.ad.dll; Clocks.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,80,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,87,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,95,<unresolved>,,1,Marbles.ad
AD_RSRC,96,<unresolved>,,1,Marbles.ad
AD_RSRC,97,<unresolved>,,1,Marbles.ad
AD_RSRC,100,<unresolved>,,1,Marbles.ad
AD_RSRC,103,<unresolved>,,1,Marbles.ad
AD_RSRC,104,<unresolved>,,1,Marbles.ad
AD_RSRC,105,<unresolved>,,1,Marbles.ad
AD_RSRC,106,<unresolved>,,1,Marbles.ad
AD_RSRC,107,<unresolved>,,1,Marbles.ad
AD_RSRC,108,<unresolved>,,1,Marbles.ad
AD_RSRC,109,<unresolved>,,1,Marbles.ad
AD_RSRC,110,<unresolved>,,1,Marbles.ad
AD_RSRC,114,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,115,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,116,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,117,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,118,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,119,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,120,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,121,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,132,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,138,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,139,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,140,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_RSRC,141,<unresolved>,,2,Aquatic Realm.ad.dll; Swan Lake.ad
AD_RSRC,144,<unresolved>,,5,Aquatic Realm.ad.dll; Clocks.ad; Globe.ad; Marbles.ad; Swan Lake.ad
AD_SND,,ADWCLOSESOUND,,9,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; GeoBounce.ad; Gravity.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad; Sounder.ad
AD_SND,,ADWFREESOUND,,9,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; GeoBounce.ad; Gravity.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad; Sounder.ad
AD_SND,,ADWGETSOUNDINFO,,2,Clocks.ad; Sounder.ad
AD_SND,,ADWLOADSOUNDFILE,,2,Clocks.ad; Sounder.ad
AD_SND,,ADWLOADSOUNDRESOURCE,,8,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; GeoBounce.ad; Gravity.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad
AD_SND,,ADWOPENSOUND,,9,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; GeoBounce.ad; Gravity.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad; Sounder.ad
AD_SND,,ADWPLAYSOUND,,9,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; GeoBounce.ad; Gravity.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad; Sounder.ad
AD_SND,,ADWSETSOUNDMODE,,9,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; GeoBounce.ad; Gravity.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad; Sounder.ad
AD_SND,,ADWSOUNDASYNCCAP,,9,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; GeoBounce.ad; Gravity.ad; Marbles.ad; Nocturnes.ad; Punch Out.ad; Sounder.ad
AD_SND,,ADWSTOPSOUND,,1,Sounder.ad
GDI,1,SetBkColor,pascal,29,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
GDI,2,SetBkMode,pascal,29,Aquatic Realm.ad.dll; Can of Worms.ad; Clocks.ad; Down the Drain.ad; Fade Away.ad; GeoBounce.ad; Globe.ad; GraphStat.ad; Gravity.ad; Hall of Mirrors.ad; Hard Rain.ad; Lasers.ad; Magic.ad; Marbles.ad; Mondrian.ad; Mountains.ad; Nocturnes.ad; Penrose.ad; Punch Out.ad; Rainstorm.ad; Shapes.ad; Sounder.ad; Spiral Gyra.ad; Stained Glass.ad; String Theory.ad; Swan Lake.ad; Vertigo.ad; Wrap Around.ad; Zot!.ad
GDI,4,SetROP2,pascal,1,Stained Glass.ad
GDI,6,SetPolyFillMode,pascal,1,Mountains.ad
